date,name,category,value
1927-01-01,Novese,,1
,,,
1928-01-01,Juventus,,2
1928-01-01,Inter,,2
1928-01-01,Milan,,3
1928-01-01,Genoa,,9
1928-01-01,Bologna,,1
1928-01-01,Torino,,1
1928-01-01,Pro Vercelli,,7
1928-01-01,Roma,,0
1928-01-01,Napoli,,0
1928-01-01,Lazio,,0
1928-01-01,Fiorentina,,0
1928-01-01,Sampdoria,,0
1928-01-01,Hellas Verona,,0
1928-01-01,Cagliari,,0
1928-01-01,Casale,,1
1928-01-01,Novese,,1
,,,
1929-01-01,Juventus,,2
1929-01-01,Inter,,2
1929-01-01,Milan,,3
1929-01-01,Genoa,,9
1929-01-01,Bologna,,2
1929-01-01,Torino,,1
1929-01-01,Pro Vercelli,,7
1929-01-01,Roma,,0
1929-01-01,Napoli,,0
1929-01-01,Lazio,,0
1929-01-01,Fiorentina,,0
1929-01-01,Sampdoria,,0
1929-01-01,Hellas Verona,,0
1929-01-01,Cagliari,,0
1929-01-01,Casale,,1
1929-01-01,Novese,,1
,,,
1930-01-01,Juventus,,2
1930-01-01,Inter,,3
1930-01-01,Milan,,3
1930-01-01,Genoa,,9
1930-01-01,Bologna,,2
1930-01-01,Torino,,1
1930-01-01,Pro Vercelli,,7
1930-01-01,Roma,,0
1930-01-01,Napoli,,0
1930-01-01,Lazio,,0
1930-01-01,Fiorentina,,0
1930-01-01,Sampdoria,,0
1930-01-01,Hellas Verona,,0
1930-01-01,Cagliari,,0
1930-01-01,Casale,,1
1930-01-01,Novese,,1
,,,
1931-01-01,Juventus,,3
1931-01-01,Inter,,3
1931-01-01,Milan,,3
1931-01-01,Genoa,,9
1931-01-01,Bologna,,2
1931-01-01,Torino,,1
1931-01-01,Pro Vercelli,,7
1931-01-01,Roma,,0
1931-01-01,Napoli,,0
1931-01-01,Lazio,,0
1931-01-01,Fiorentina,,0
1931-01-01,Sampdoria,,0
1931-01-01,Hellas Verona,,0
1931-01-01,Cagliari,,0
1931-01-01,Casale,,1
1931-01-01,Novese,,1
,,,
1932-01-01,Juventus,,4
1932-01-01,Inter,,3
1932-01-01,Milan,,3
1932-01-01,Genoa,,9
1932-01-01,Bologna,,2
1932-01-01,Torino,,1
1932-01-01,Pro Vercelli,,7
1932-01-01,Roma,,0
1932-01-01,Napoli,,0
1932-01-01,Lazio,,0
1932-01-01,Fiorentina,,0
1932-01-01,Sampdoria,,0
1932-01-01,Hellas Verona,,0
1932-01-01,Cagliari,,0
1932-01-01,Casale,,1
1932-01-01,Novese,,1
,,,
1933-01-01,Juventus,,5
1933-01-01,Inter,,3
1933-01-01,Milan,,3
1933-01-01,Genoa,,9
1933-01-01,Bologna,,2
1933-01-01,Torino,,1
1933-01-01,Pro Vercelli,,7
1933-01-01,Roma,,0
1933-01-01,Napoli,,0
1933-01-01,Lazio,,0
1933-01-01,Fiorentina,,0
1933-01-01,Sampdoria,,0
1933-01-01,Hellas Verona,,0
1933-01-01,Cagliari,,0
1933-01-01,Casale,,1
1933-01-01,Novese,,1
,,,
1934-01-01,Juventus,,6
1934-01-01,Inter,,3
1934-01-01,Milan,,3
1934-01-01,Genoa,,9
1934-01-01,Bologna,,2
1934-01-01,Torino,,1
1934-01-01,Pro Vercelli,,7
1934-01-01,Roma,,0
1934-01-01,Napoli,,0
1934-01-01,Lazio,,0
1934-01-01,Fiorentina,,0
1934-01-01,Sampdoria,,0
1934-01-01,Hellas Verona,,0
1934-01-01,Cagliari,,0
1934-01-01,Casale,,1
1934-01-01,Novese,,1
,,,
1935-01-01,Juventus,,7
1935-01-01,Inter,,3
1935-01-01,Milan,,3
1935-01-01,Genoa,,9
1935-01-01,Bologna,,2
1935-01-01,Torino,,1
1935-01-01,Pro Vercelli,,7
1935-01-01,Roma,,0
1935-01-01,Napoli,,0
1935-01-01,Lazio,,0
1935-01-01,Fiorentina,,0
1935-01-01,Sampdoria,,0
1935-01-01,Hellas Verona,,0
1935-01-01,Cagliari,,0
1935-01-01,Casale,,1
1935-01-01,Novese,,1
,,,
1936-01-01,Juventus,,7
1936-01-01,Inter,,3
1936-01-01,Milan,,3
1936-01-01,Genoa,,9
1936-01-01,Bologna,,3
1936-01-01,Torino,,1
1936-01-01,Pro Vercelli,,7
1936-01-01,Roma,,0
1936-01-01,Napoli,,0
1936-01-01,Lazio,,0
1936-01-01,Fiorentina,,0
1936-01-01,Sampdoria,,0
1936-01-01,Hellas Verona,,0
1936-01-01,Cagliari,,0
1936-01-01,Casale,,1
1936-01-01,Novese,,1
,,,
1937-01-01,Juventus,,7
1937-01-01,Inter,,3
1937-01-01,Milan,,3
1937-01-01,Genoa,,9
1937-01-01,Bologna,,4
1937-01-01,Torino,,1
1937-01-01,Pro Vercelli,,7
1937-01-01,Roma,,0
1937-01-01,Napoli,,0
1937-01-01,Lazio,,0
1937-01-01,Fiorentina,,0
1937-01-01,Sampdoria,,0
1937-01-01,Hellas Verona,,0
1937-01-01,Cagliari,,0
1937-01-01,Casale,,1
1937-01-01,Novese,,1
,,,
1938-01-01,Juventus,,7
1938-01-01,Inter,,4
1938-01-01,Milan,,3
1938-01-01,Genoa,,9
1938-01-01,Bologna,,4
1938-01-01,Torino,,1
1938-01-01,Pro Vercelli,,7
1938-01-01,Roma,,0
1938-01-01,Napoli,,0
1938-01-01,Lazio,,0
1938-01-01,Fiorentina,,0
1938-01-01,Sampdoria,,0
1938-01-01,Hellas Verona,,0
1938-01-01,Cagliari,,0
1938-01-01,Casale,,1
1938-01-01,Novese,,1
,,,
1939-01-01,Juventus,,7
1939-01-01,Inter,,4
1939-01-01,Milan,,3
1939-01-01,Genoa,,9
1939-01-01,Bologna,,5
1939-01-01,Torino,,1
1939-01-01,Pro Vercelli,,7
1939-01-01,Roma,,0
1939-01-01,Napoli,,0
1939-01-01,Lazio,,0
1939-01-01,Fiorentina,,0
1939-01-01,Sampdoria,,0
1939-01-01,Hellas Verona,,0
1939-01-01,Cagliari,,0
1939-01-01,Casale,,1
1939-01-01,Novese,,1
,,,
1940-01-01,Juventus,,7
1940-01-01,Inter,,5
1940-01-01,Milan,,3
1940-01-01,Genoa,,9
1940-01-01,Bologna,,5
1940-01-01,Torino,,1
1940-01-01,Pro Vercelli,,7
1940-01-01,Roma,,0
1940-01-01,Napoli,,0
1940-01-01,Lazio,,0
1940-01-01,Fiorentina,,0
1940-01-01,Sampdoria,,0
1940-01-01,Hellas Verona,,0
1940-01-01,Cagliari,,0
1940-01-01,Casale,,1
1940-01-01,Novese,,1
,,,
1941-01-01,Juventus,,7
1941-01-01,Inter,,5
1941-01-01,Milan,,3
1941-01-01,Genoa,,9
1941-01-01,Bologna,,6
1941-01-01,Torino,,1
1941-01-01,Pro Vercelli,,7
1941-01-01,Roma,,0
1941-01-01,Napoli,,0
1941-01-01,Lazio,,0
1941-01-01,Fiorentina,,0
1941-01-01,Sampdoria,,0
1941-01-01,Hellas Verona,,0
1941-01-01,Cagliari,,0
1941-01-01,Casale,,1
1941-01-01,Novese,,1
,,,
1942-01-01,Juventus,,7
1942-01-01,Inter,,5
1942-01-01,Milan,,3
1942-01-01,Genoa,,9
1942-01-01,Bologna,,6
1942-01-01,Torino,,1
1942-01-01,Pro Vercelli,,7
1942-01-01,Roma,,1
1942-01-01,Napoli,,0
1942-01-01,Lazio,,0
1942-01-01,Fiorentina,,0
1942-01-01,Sampdoria,,0
1942-01-01,Hellas Verona,,0
1942-01-01,Cagliari,,0
1942-01-01,Casale,,1
1942-01-01,Novese,,1
,,,
1943-01-01,Juventus,,7
1943-01-01,Inter,,5
1943-01-01,Milan,,3
1943-01-01,Genoa,,9
1943-01-01,Bologna,,6
1943-01-01,Torino,,2
1943-01-01,Pro Vercelli,,7
1943-01-01,Roma,,1
1943-01-01,Napoli,,0
1943-01-01,Lazio,,0
1943-01-01,Fiorentina,,0
1943-01-01,Sampdoria,,0
1943-01-01,Hellas Verona,,0
1943-01-01,Cagliari,,0
1943-01-01,Casale,,1
1943-01-01,Novese,,1
,,,
1946-01-01,Juventus,,7
1946-01-01,Inter,,5
1946-01-01,Milan,,3
1946-01-01,Genoa,,9
1946-01-01,Bologna,,6
1946-01-01,Torino,,3
1946-01-01,Pro Vercelli,,7
1946-01-01,Roma,,1
1946-01-01,Napoli,,0
1946-01-01,Lazio,,0
1946-01-01,Fiorentina,,0
1946-01-01,Sampdoria,,0
1946-01-01,Hellas Verona,,0
1946-01-01,Cagliari,,0
1946-01-01,Casale,,1
1946-01-01,Novese,,1
,,,
1947-01-01,Juventus,,7
1947-01-01,Inter,,5
1947-01-01,Milan,,3
1947-01-01,Genoa,,9
1947-01-01,Bologna,,6
1947-01-01,Torino,,4
1947-01-01,Pro Vercelli,,7
1947-01-01,Roma,,1
1947-01-01,Napoli,,0
1947-01-01,Lazio,,0
1947-01-01,Fiorentina,,0
1947-01-01,Sampdoria,,0
1947-01-01,Hellas Verona,,0
1947-01-01,Cagliari,,0
1947-01-01,Casale,,1
1947-01-01,Novese,,1
,,,
1948-01-01,Juventus,,7
1948-01-01,Inter,,5
1948-01-01,Milan,,3
1948-01-01,Genoa,,9
1948-01-01,Bologna,,6
1948-01-01,Torino,,5
1948-01-01,Pro Vercelli,,7
1948-01-01,Roma,,1
1948-01-01,Napoli,,0
1948-01-01,Lazio,,0
1948-01-01,Fiorentina,,0
1948-01-01,Sampdoria,,0
1948-01-01,Hellas Verona,,0
1948-01-01,Cagliari,,0
1948-01-01,Casale,,1
1948-01-01,Novese,,1
,,,
1949-01-01,Juventus,,7
1949-01-01,Inter,,5
1949-01-01,Milan,,3
1949-01-01,Genoa,,9
1949-01-01,Bologna,,6
1949-01-01,Torino,,6
1949-01-01,Pro Vercelli,,7
1949-01-01,Roma,,1
1949-01-01,Napoli,,0
1949-01-01,Lazio,,0
1949-01-01,Fiorentina,,0
1949-01-01,Sampdoria,,0
1949-01-01,Hellas Verona,,0
1949-01-01,Cagliari,,0
1949-01-01,Casale,,1
1949-01-01,Novese,,1
,,,
1950-01-01,Juventus,,8
1950-01-01,Inter,,5
1950-01-01,Milan,,3
1950-01-01,Genoa,,9
1950-01-01,Bologna,,6
1950-01-01,Torino,,6
1950-01-01,Pro Vercelli,,7
1950-01-01,Roma,,1
1950-01-01,Napoli,,0
1950-01-01,Lazio,,0
1950-01-01,Fiorentina,,0
1950-01-01,Sampdoria,,0
1950-01-01,Hellas Verona,,0
1950-01-01,Cagliari,,0
1950-01-01,Casale,,1
1950-01-01,Novese,,1
,,,
1951-01-01,Juventus,,8
1951-01-01,Inter,,5
1951-01-01,Milan,,4
1951-01-01,Genoa,,9
1951-01-01,Bologna,,6
1951-01-01,Torino,,6
1951-01-01,Pro Vercelli,,7
1951-01-01,Roma,,1
1951-01-01,Napoli,,0
1951-01-01,Lazio,,0
1951-01-01,Fiorentina,,0
1951-01-01,Sampdoria,,0
1951-01-01,Hellas Verona,,0
1951-01-01,Cagliari,,0
1951-01-01,Casale,,1
1951-01-01,Novese,,1
,,,
1952-01-01,Juventus,,9
1952-01-01,Inter,,5
1952-01-01,Milan,,4
1952-01-01,Genoa,,9
1952-01-01,Bologna,,6
1952-01-01,Torino,,6
1952-01-01,Pro Vercelli,,7
1952-01-01,Roma,,1
1952-01-01,Napoli,,0
1952-01-01,Lazio,,0
1952-01-01,Fiorentina,,0
1952-01-01,Sampdoria,,0
1952-01-01,Hellas Verona,,0
1952-01-01,Cagliari,,0
1952-01-01,Casale,,1
1952-01-01,Novese,,1
,,,
1953-01-01,Juventus,,9
1953-01-01,Inter,,6
1953-01-01,Milan,,4
1953-01-01,Genoa,,9
1953-01-01,Bologna,,6
1953-01-01,Torino,,6
1953-01-01,Pro Vercelli,,7
1953-01-01,Roma,,1
1953-01-01,Napoli,,0
1953-01-01,Lazio,,0
1953-01-01,Fiorentina,,0
1953-01-01,Sampdoria,,0
1953-01-01,Hellas Verona,,0
1953-01-01,Cagliari,,0
1953-01-01,Casale,,1
1953-01-01,Novese,,1
,,,
1954-01-01,Juventus,,9
1954-01-01,Inter,,7
1954-01-01,Milan,,4
1954-01-01,Genoa,,9
1954-01-01,Bologna,,6
1954-01-01,Torino,,6
1954-01-01,Pro Vercelli,,7
1954-01-01,Roma,,1
1954-01-01,Napoli,,0
1954-01-01,Lazio,,0
1954-01-01,Fiorentina,,0
1954-01-01,Sampdoria,,0
1954-01-01,Hellas Verona,,0
1954-01-01,Cagliari,,0
1954-01-01,Casale,,1
1954-01-01,Novese,,1
,,,
1955-01-01,Juventus,,9
1955-01-01,Inter,,7
1955-01-01,Milan,,5
1955-01-01,Genoa,,9
1955-01-01,Bologna,,6
1955-01-01,Torino,,6
1955-01-01,Pro Vercelli,,7
1955-01-01,Roma,,1
1955-01-01,Napoli,,0
1955-01-01,Lazio,,0
1955-01-01,Fiorentina,,0
1955-01-01,Sampdoria,,0
1955-01-01,Hellas Verona,,0
1955-01-01,Cagliari,,0
1955-01-01,Casale,,1
1955-01-01,Novese,,1
,,,
1956-01-01,Juventus,,9
1956-01-01,Inter,,7
1956-01-01,Milan,,5
1956-01-01,Genoa,,9
1956-01-01,Bologna,,6
1956-01-01,Torino,,6
1956-01-01,Pro Vercelli,,7
1956-01-01,Roma,,1
1956-01-01,Napoli,,0
1956-01-01,Lazio,,0
1956-01-01,Fiorentina,,1
1956-01-01,Sampdoria,,0
1956-01-01,Hellas Verona,,0
1956-01-01,Cagliari,,0
1956-01-01,Casale,,1
1956-01-01,Novese,,1
,,,
1957-01-01,Juventus,,9
1957-01-01,Inter,,7
1957-01-01,Milan,,6
1957-01-01,Genoa,,9
1957-01-01,Bologna,,6
1957-01-01,Torino,,6
1957-01-01,Pro Vercelli,,7
1957-01-01,Roma,,1
1957-01-01,Napoli,,0
1957-01-01,Lazio,,0
1957-01-01,Fiorentina,,1
1957-01-01,Sampdoria,,0
1957-01-01,Hellas Verona,,0
1957-01-01,Cagliari,,0
1957-01-01,Casale,,1
1957-01-01,Novese,,1
,,,
1958-01-01,Juventus,,10
1958-01-01,Inter,,7
1958-01-01,Milan,,6
1958-01-01,Genoa,,9
1958-01-01,Bologna,,6
1958-01-01,Torino,,6
1958-01-01,Pro Vercelli,,7
1958-01-01,Roma,,1
1958-01-01,Napoli,,0
1958-01-01,Lazio,,0
1958-01-01,Fiorentina,,1
1958-01-01,Sampdoria,,0
1958-01-01,Hellas Verona,,0
1958-01-01,Cagliari,,0
1958-01-01,Casale,,1
1958-01-01,Novese,,1
,,,
1959-01-01,Juventus,,10
1959-01-01,Inter,,7
1959-01-01,Milan,,7
1959-01-01,Genoa,,9
1959-01-01,Bologna,,6
1959-01-01,Torino,,6
1959-01-01,Pro Vercelli,,7
1959-01-01,Roma,,1
1959-01-01,Napoli,,0
1959-01-01,Lazio,,0
1959-01-01,Fiorentina,,1
1959-01-01,Sampdoria,,0
1959-01-01,Hellas Verona,,0
1959-01-01,Cagliari,,0
